,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 4/18/2023Current,4.85B,N/A,5.65,4.88,0.71,1.56,1.09,N/A,N/A
1,3/31/2023,4.43B,N/A,5.17,4.47,N/A,1.43,1.00,N/A,N/A
2,12/31/2022,7.36B,N/A,9.24,7.07,0.56,2.47,1.72,N/A,N/A
3,9/30/2022,7.61B,N/A,9.47,7.67,0.63,2.73,1.47,N/A,N/A
4,6/30/2022,7.66B,N/A,8.26,9.11,30.37,2.79,1.31,N/A,N/A
5,3/31/2022,9.92B,N/A,9.66,12.58,31.43,3.62,1.41,N/A,N/A
6,12/31/2021,9.58B,N/A,8.93,13.44,0.91,3.57,1.31,N/A,N/A
7,9/30/2021,9.69B,N/A,9.33,13.61,1.12,3.48,1.28,N/A,N/A
8,6/30/2021,8.58B,N/A,10.83,11.07,1.32,3.06,1.16,N/A,N/A
9,3/31/2021,9.00B,N/A,18.20,12.22,1.55,3.26,1.23,N/A,N/A
10,12/31/2020,7.13B,N/A,18.56,12.63,3.08,2.64,1.00,N/A,N/A
11,9/30/2020,4.79B,N/A,11.73,8.22,1.37,1.83,0.68,N/A,N/A
12,6/30/2020,5.58B,N/A,10.76,16.31,2.59,2.19,0.81,N/A,N/A
13,3/31/2020,4.38B,N/A,6.43,6.92,1.23,1.76,0.65,N/A,N/A
14,12/31/2019,8.57B,N/A,12.16,11.29,2.69,3.51,1.23,N/A,N/A
15,9/30/2019,7.59B,N/A,10.73,9.68,2.62,3.12,1.08,N/A,N/A
16,6/30/2019,8.39B,N/A,11.41,10.30,2.10,3.32,1.16,N/A,N/A
17,3/31/2019,8.29B,N/A,11.13,10.20,1.73,3.37,1.18,N/A,N/A
18,12/31/2018,7.64B,N/A,11.48,9.56,0.90,3.12,1.09,N/A,N/A
19,9/30/2018,9.75B,N/A,15.53,12.17,1.02,3.91,1.37,N/A,N/A
20,6/30/2018,10.39B,N/A,17.11,13.44,1.12,4.14,1.45,N/A,N/A
21,3/31/2018,10.39B,N/A,20.28,14.68,1.25,4.24,1.46,N/A,N/A
22,12/31/2017,10.15B,N/A,19.11,16.16,1.14,4.14,1.40,N/A,N/A
23,9/30/2017,9.54B,N/A,18.80,15.22,1.07,3.90,1.31,N/A,N/A
24,6/30/2017,8.88B,N/A,19.78,17.24,1.29,3.71,1.26,N/A,N/A
25,3/31/2017,8.51B,N/A,21.11,16.98,0.85,3.60,1.23,N/A,N/A
26,12/31/2016,8.77B,N/A,23.65,18.25,0.91,3.72,1.25,N/A,N/A
27,9/30/2016,6.32B,N/A,18.69,13.70,0.91,2.76,0.91,N/A,N/A
28,6/30/2016,5.15B,N/A,20.77,14.37,1.15,2.41,0.76,N/A,N/A
29,3/31/2016,4.95B,N/A,20.18,11.19,0.90,2.36,0.74,N/A,N/A
30,12/31/2015,5.58B,N/A,25.05,13.99,1.72,2.67,0.84,N/A,N/A
