Ticker Symbol,Index,Ticker,Date,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Other Working Capital,Dividend Received CFO,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Dividends Received CFI,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow,Earnings Losses from Equity Investments,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Preferred Stock Issuance,Other Cash Adjustment Inside Change in Cash,Change in Deferred Charges,Pension And Employee Benefit Expense,Cash from Discontinued Operating Activities,Capital Expenditure Reported,Decrease in Interest Bearing Depositsin Bank,Cash from Discontinued Investing Activities,Cash from Discontinued Financing Activities,Depreciation,Amortization,Amortization of Intangibles,Amortization of Securities,Unrealized Gain Loss On Investment Securities,Net Intangibles Purchase And Sale,Sale of Intangibles,Cash Flow from Discontinued Operation,Net Foreign Currency Exchange Gain Loss,Purchase of Intangibles,Taxes Refund Paid,Change in Prepaid Assets,Interest Received CFI
EWBC,4,EWBC,2022-03-31,285885.0,285885.0,237652.0,-4200.0,,,-1278.0,-2922.0,26555.0,26555.0,-7083.0,-7083.0,63.0,11824.0,,8433.0,,8000.0,1414.0,-81628.0,-81628.0,83042.0,83042.0,,3227.0,-1682514.0,-1682514.0,396681.0,-79633.0,,-214014.0,-746855.0,565694.0,,,-1787138.0,135517.0,-1922655.0,,,,,,,4348.0,-2758.0,1331587.0,1331587.0,100.0,-175360.0,-175329.0,,-175329.0,-31.0,,-31.0,-18597.0,,-18597.0,,,-58900.0,,,,,3848700.0,-65042.0,807.0,3912935.0,,,20881.0,,,,-175360.0,-18597.0,285885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EWBC,5,EWBC,2021-12-31,422591.0,422591.0,217796.0,-2698.0,,,-390.0,-2308.0,40421.0,40421.0,3975.0,3975.0,-853.0,16075.0,308.0,8520.0,,-10000.0,143554.0,203145.0,203145.0,-59591.0,-59591.0,,5493.0,-1299318.0,-1299318.0,242639.0,68687.0,,-452030.0,-895266.0,491190.0,,,-1188504.0,189984.0,-1378488.0,,,,,,,8814.0,26764.0,-68398.0,-68398.0,0.0,-297.0,-297.0,400.0,-697.0,0.0,,,-194.0,,-194.0,,,-46851.0,,,1393.0,,3912935.0,-945125.0,5159.0,4852901.0,,2008.0,16851.0,,,400.0,-21840.0,-194.0,416574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EWBC,6,EWBC,2021-09-30,342020.0,342020.0,225449.0,-3683.0,,,-354.0,-3329.0,45969.0,45969.0,-1784.0,-1784.0,-6390.0,6082.0,,8022.0,,-10000.0,69452.0,-4840.0,-4840.0,74292.0,74292.0,,4060.0,-2215437.0,-2215437.0,-296958.0,25110.0,,-1376494.0,-1869177.0,541785.0,,,-443849.0,167886.0,-611735.0,,,,,,,643.0,-123889.0,730672.0,730672.0,0.0,-296.0,-296.0,0.0,-296.0,0.0,,,-254.0,,-254.0,,,-46851.0,-46851.0,,0.0,,4852901.0,-1142745.0,-2159.0,5997805.0,,23250.0,18605.0,,,0.0,-296.0,-254.0,342020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EWBC,7,EWBC,2021-06-30,32296.0,32296.0,224742.0,-2123.0,,,-632.0,-1491.0,32912.0,32912.0,2347.0,2347.0,5275.0,5540.0,,8208.0,,-15000.0,-230664.0,-259486.0,-259486.0,28822.0,28822.0,,1059.0,-1218540.0,-1218540.0,-139146.0,-49534.0,,-563780.0,-1045572.0,521816.0,,,-473489.0,101425.0,-574914.0,,,,,,,2151.0,3695.0,2697496.0,2697496.0,,-405298.0,-405298.0,,-405298.0,0.0,,,-271.0,,-271.0,,,-46847.0,-46847.0,,1180.0,,5997805.0,1511252.0,-132580.0,4619133.0,,114202.0,22548.0,,,,-405298.0,-271.0,33859.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EWBC,8,EWBC,2021-03-31,371515.0,371515.0,204994.0,-1973.0,,,-192.0,-1781.0,37490.0,37490.0,224.0,224.0,1946.0,5770.0,,7817.0,,0.0,112742.0,185677.0,185677.0,-72935.0,-72935.0,,2505.0,-4383909.0,-4383909.0,-700038.0,29000.0,,-2502191.0,-2969640.0,520205.0,,,-1210642.0,147115.0,-1357757.0,-1563.0,-1563.0,,,,,2832.0,-1307.0,4475275.0,4475275.0,,-21458.0,-315.0,,-315.0,-21143.0,,,-14983.0,,-14983.0,,,-48213.0,-48213.0,,0.0,,4619133.0,462881.0,138281.0,4017971.0,,0.0,29680.0,-1563.0,,,-315.0,-14983.0,369952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EWBC,9,EWBC,2020-12-31,262711.0,262711.0,164084.0,-3490.0,,,-432.0,-3058.0,23819.0,23819.0,-41424.0,-41424.0,4223.0,1518.0,,7036.0,,24340.0,78753.0,125342.0,125342.0,-46589.0,-46589.0,,3852.0,-2453518.0,-2453518.0,-250000.0,-209636.0,,-1074812.0,-1590391.0,568276.0,,,-930528.0,77829.0,-1008357.0,2875.0,-396.0,3271.0,,,,13300.0,-4717.0,1651693.0,1651693.0,-56803.0,-1472658.0,-1432726.0,100.0,-1432826.0,-39932.0,,,-597.0,,-597.0,,,-39037.0,-39037.0,,1156.0,,4017971.0,-539114.0,50144.0,4506941.0,,34298.0,44482.0,-396.0,,100.0,-1432826.0,-597.0,262315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EWBC,10,EWBC,2020-09-30,159698.0,159698.0,159537.0,-1059.0,,,-698.0,-361.0,27163.0,27163.0,20.0,20.0,603.0,927.0,,7921.0,,10000.0,-49241.0,-8836.0,-8836.0,-40405.0,-40405.0,,3827.0,-884585.0,-884585.0,50000.0,-52474.0,,-672807.0,-1333776.0,694275.0,,,-208071.0,110020.0,-318091.0,-414.0,-414.0,0.0,,,,653.0,-1472.0,729580.0,729580.0,48063.0,-196208.0,-1290.0,100.0,-1390.0,-194918.0,,,-31.0,,-31.0,,,-38914.0,-38914.0,,0.0,0.0,4506941.0,4693.0,-31254.0,4533502.0,,76505.0,42934.0,-414.0,,100.0,-1390.0,-31.0,159284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EWBC,11,EWBC,2020-06-30,179213.0,179213.0,99352.0,-9775.0,,,-9640.0,-132.0,37740.0,37740.0,-139.0,-139.0,-2340.0,-14382.0,,7071.0,,102443.0,-40891.0,6392.0,6392.0,-47283.0,-47283.0,,134.0,-2105283.0,-2105283.0,-400000.0,-200078.0,,-170330.0,-846957.0,717930.0,,,-1338171.0,33070.0,-1371241.0,953.0,-930.0,,,,,1574.0,1064.0,3408492.0,3408492.0,,1624110.0,1438238.0,1447369.0,-9131.0,185872.0,,,-16.0,,-16.0,,,-38913.0,-38913.0,,,,4533502.0,1482422.0,-28962.0,3080042.0,,2705.0,57203.0,-930.0,,1447369.0,-9131.0,-16.0,178283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EWBC,12,EWBC,2020-03-31,91703.0,91703.0,144824.0,-2476.0,,3.0,-1529.0,-950.0,31186.0,31186.0,28.0,28.0,-1306.0,-4519.0,,7209.0,,73870.0,-158086.0,-462766.0,-462766.0,304680.0,304680.0,,973.0,-1405330.0,-1405330.0,250000.0,-115419.0,,-399628.0,-987130.0,615083.0,295.0,295.0,-1138598.0,110945.0,-1249543.0,-916.0,-916.0,,,,,374.0,-1438.0,1119028.0,1119028.0,,-60326.0,-100288.0,0.0,-100288.0,39962.0,,,-153575.0,,-153575.0,,,-41358.0,-41358.0,,,,3080042.0,-194599.0,13492.0,3261149.0,,2904.0,88520.0,-916.0,,0.0,-100288.0,-153575.0,90787.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EWBC,13,EWBC,2019-12-31,346810.0,346810.0,188215.0,-1998.0,0.0,-66.0,-864.0,-1068.0,40958.0,40958.0,-19170.0,-19170.0,-204.0,-9462.0,,7749.0,,18577.0,121687.0,192368.0,192368.0,-70681.0,-70681.0,,458.0,-702358.0,-702358.0,150000.0,-11019.0,,-105728.0,-1084017.0,1021907.0,1224.0,1224.0,-740159.0,64161.0,-804320.0,-952.0,-1355.0,,0.0,0.0,,4939.0,-663.0,591739.0,591739.0,,-19727.0,-227.0,0.0,-227.0,-19500.0,,,-405.0,1488.0,-405.0,,,-40121.0,-40121.0,,1488.0,,3261149.0,236191.0,-17323.0,3042281.0,,42222.0,105047.0,-1355.0,1488.0,0.0,-227.0,-405.0,345455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
