Ticker Symbol,Index,Ticker,Date,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Other Customer Services,Fees & Commission Expense,Dividend Income,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Securities Amortization,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Gain on Sale of Business,Impairment of Capital Assets,Loss on Extinguishment of Debt,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Extraordinary,Preferred Stock Dividends,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items,Securities Activities,Investment Banking Profit,Trading Gain Loss,Selling & Marketing Expense,Restructuring & Mergers Acquisition,Net Income Discontinuous Operations,Net Income from Tax Loss Carryforward,Minority Interests,Credit Card,Rental & Landing Fees,Rent Expense Supplemental,Depreciation,Write Off,Interest Income from Leases,Earnings from Equity Interest Net of Tax
EWBC,5,EWBC,2022-03-31,490663.0,415613.0,432029.0,377110.0,377110.0,43276.0,3260.0,8383.0,,16416.0,12989.0,9.0,1402.0,2025.0,,75050.0,,41112.0,45805.0,39753.0,6052.0,,4693.0,,12699.0,16960.0,14038.0,2922.0,,4279.0,-8000.0,184757.0,22758.0,15464.0,7294.0,2551.0,124651.0,124651.0,116269.0,4717.0,3665.0,,,,,13900.0,20897.0,,,,,,,,297906.0,60254.0,237652.0,237652.0,237652.0,237652.0,,,,237652.0,1.67,1.66,142025.0,143223.0,407613.0,237652.0,237652.0,11643.0,26555.0,237652.0,,,0.0,0.0,,,,,,,,,,,,,,,
EWBC,6,EWBC,2021-12-31,472879.0,405697.0,422708.0,366936.0,366936.0,42860.0,3750.0,9162.0,,17011.0,13369.0,0.0,1624.0,2018.0,,67182.0,,41751.0,46058.0,40767.0,5291.0,,4307.0,,13343.0,7612.0,5304.0,2308.0,,4476.0,10000.0,205798.0,23340.0,15846.0,7494.0,3714.0,123690.0,123690.0,114743.0,4772.0,4175.0,,,,,31800.0,23254.0,,0.0,,,0.0,,,277081.0,59285.0,217796.0,217796.0,217796.0,217796.0,,,,217796.0,1.53,1.52,141907.0,143323.0,415697.0,217796.0,217796.0,12912.0,40421.0,217796.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
EWBC,7,EWBC,2021-09-30,464679.0,395706.0,415307.0,363503.0,363503.0,38326.0,4521.0,8957.0,,19601.0,15970.0,0.0,1619.0,2012.0,,68973.0,,37486.0,41622.0,36024.0,5598.0,,4136.0,,13101.0,16188.0,12859.0,3329.0,,2198.0,10000.0,201248.0,24277.0,15851.0,8426.0,3998.0,113967.0,113967.0,105751.0,4641.0,3575.0,,,,,38008.0,20998.0,,0.0,,,0.0,,,273431.0,47982.0,225449.0,225449.0,225449.0,225449.0,,,,225449.0,1.59,1.57,141880.0,143143.0,405706.0,225449.0,225449.0,13478.0,45969.0,225449.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
EWBC,8,EWBC,2021-06-30,441087.0,376473.0,399333.0,352453.0,352453.0,35231.0,3628.0,8021.0,,22860.0,17998.0,0.0,2871.0,1991.0,,64614.0,,42568.0,46385.0,38434.0,7951.0,,3817.0,,13007.0,6547.0,5056.0,1491.0,,2492.0,15000.0,185706.0,22898.0,15377.0,7521.0,3843.0,113735.0,113735.0,105426.0,4274.0,4035.0,,,,,27291.0,17939.0,,0.0,,,0.0,,,270381.0,45639.0,224742.0,224742.0,224742.0,224742.0,,,,224742.0,1.58,1.57,141868.0,143040.0,391473.0,224742.0,224742.0,11649.0,32912.0,224742.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
EWBC,9,EWBC,2021-03-31,422669.0,353695.0,381386.0,342008.0,342008.0,29647.0,3632.0,6099.0,,27691.0,21822.0,42.0,3849.0,2020.0,,68974.0,,36759.0,40651.0,33740.0,6911.0,,3892.0,,9526.0,19895.0,18114.0,1781.0,,2794.0,0.0,161827.0,15922.0,15922.0,7159.0,2977.0,123321.0,123321.0,107808.0,3876.0,11637.0,,,,,25358.0,19607.0,,,,,,,-25358.0,235484.0,30490.0,204994.0,204994.0,204994.0,204994.0,,,,204994.0,1.45,1.44,141646.0,142844.0,353695.0,204994.0,204994.0,9731.0,37490.0,204994.0,,,0.0,0.0,,,,,,,,,,,,,,,
EWBC,10,EWBC,2020-12-31,412912.0,346581.0,381348.0,348578.0,348578.0,23357.0,4458.0,4955.0,,34767.0,28142.0,276.0,4269.0,2356.0,,66331.0,,33639.0,37140.0,32643.0,4497.0,,3501.0,,6679.0,20446.0,17388.0,3058.0,,5567.0,-24340.0,162887.0,16548.0,16548.0,7027.0,3210.0,121129.0,121129.0,105400.0,3995.0,11734.0,,,,,12263.0,22000.0,,0.0,,,0.0,,-12263.0,213422.0,49338.0,164084.0,164084.0,164084.0,164084.0,,,,164084.0,1.16,1.15,141564.0,142529.0,322241.0,164084.0,164084.0,9413.0,23819.0,164084.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
EWBC,11,EWBC,2020-09-30,370597.0,324130.0,365728.0,336542.0,336542.0,18846.0,5045.0,5295.0,,41598.0,33798.0,407.0,5238.0,2562.0,,46467.0,,32749.0,35862.0,31309.0,4553.0,,3113.0,,3310.0,6913.0,6552.0,361.0,,3495.0,-10000.0,152251.0,16648.0,16648.0,8539.0,2590.0,115891.0,115891.0,99756.0,4006.0,12129.0,,,,,12286.0,17122.0,,0.0,,,0.0,,-12286.0,196060.0,36523.0,159537.0,159537.0,159537.0,159537.0,,,,159537.0,1.13,1.12,141498.0,142043.0,314130.0,159537.0,159537.0,10340.0,27163.0,159537.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
EWBC,12,EWBC,2020-06-30,399059.0,343775.0,398776.0,367393.0,367393.0,21305.0,4564.0,5514.0,,55001.0,46399.0,265.0,4797.0,3805.0,,55284.0,,32556.0,35909.0,32818.0,3091.0,,3353.0,,4562.0,16845.0,16713.0,132.0,,1321.0,-102443.0,150844.0,16217.0,16217.0,7301.0,2943.0,112436.0,112436.0,96955.0,3700.0,11781.0,,,,,24759.0,19248.0,,-8740.0,,,8740.0,,-24759.0,112273.0,12921.0,99352.0,99352.0,99352.0,99352.0,,,,99352.0,0.7,0.7,141486.0,141827.0,241332.0,99352.0,107087.0,10078.0,37740.0,99352.0,-8740.0,-8740.0,0.0,-1005.0,,,,,,,,,,,,,,,
EWBC,13,EWBC,2020-03-31,413193.0,362707.0,449190.0,411869.0,411869.0,20588.0,11168.0,5565.0,,86483.0,76403.0,,5533.0,4547.0,,50486.0,,28014.0,31577.0,26220.0,5357.0,,3563.0,,7819.0,11473.0,10523.0,950.0,,3180.0,-73870.0,175313.0,23242.0,17076.0,6166.0,4414.0,109213.0,109213.0,101960.0,3427.0,3826.0,,,,,17325.0,21119.0,,,,,,,,164010.0,19186.0,144824.0,144824.0,144824.0,144824.0,,,,144824.0,1.0,1.0,144814.0,145285.0,288837.0,144824.0,144824.0,16733.0,31186.0,144824.0,,,0.0,0.0,,,,,,,,,,,,,,,
EWBC,14,EWBC,2019-12-31,427417.0,368219.0,467233.0,425773.0,425773.0,20786.0,14925.0,5749.0,,99014.0,89013.0,,6215.0,3786.0,,59198.0,,27553.0,31302.0,27087.0,4215.0,,3749.0,,6032.0,22438.0,21370.0,1068.0,,3175.0,-18577.0,189624.0,24764.0,17138.0,7626.0,5300.0,108010.0,108010.0,101051.0,3371.0,3588.0,,,,,27038.0,24512.0,,66.0,0.0,,,-66.0,,219282.0,31067.0,188215.0,188215.0,188215.0,188215.0,,,,188215.0,1.29,1.29,145624.0,146318.0,349642.0,188215.0,188158.0,20674.0,40958.0,188215.0,66.0,66.0,0.0,9.372,,,,,,,,,,,,,,,
