Ticker Symbol,Index,Ticker,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
EWBC,5,EWBC,2022-03-31,11240000000,,12.95,11.21,,6.28,1.93,,
EWBC,6,EWBC,2021-12-31,11170000000,,13.73,12.32,,6.46,1.96,,
EWBC,7,EWBC,2021-09-30,11000000000,,14.69,12.77,,6.7,1.98,,
EWBC,8,EWBC,2021-06-30,10170000000,,16.26,12.85,,6.35,1.92,,
EWBC,9,EWBC,2021-03-31,10470000000,,18.59,14.24,,6.6,1.99,,
EWBC,10,EWBC,2020-12-31,7180000000,,12.37,13.77,,4.53,1.4,,
EWBC,11,EWBC,2020-09-30,4630000000,,7.87,9.81,,2.86,0.93,,
EWBC,12,EWBC,2020-06-30,5130000000,,8.07,11.15,,3.16,1.05,,
EWBC,13,EWBC,2020-03-31,3640000000,,5.58,5.55,,2.26,0.73,,
EWBC,14,EWBC,2019-12-31,7090000000,,10.8,9.95,,4.33,1.45,,
EWBC,15,EWBC,2019-09-30,6450000000,,9.84,8.79,,4.02,1.36,,
EWBC,16,EWBC,2019-06-30,6810000000,,10.06,9.35,,4.32,1.48,,
EWBC,17,EWBC,2019-03-31,6980000000,,9.97,9.48,1.19,4.53,1.58,,
EWBC,18,EWBC,2018-12-31,6310000000,,10.32,,,4.24,1.49,,
EWBC,19,EWBC,2018-09-30,8750000000,,15.28,11.83,1.48,6.05,2.13,,
EWBC,20,EWBC,2018-06-30,9450000000,,18.16,14.16,1.77,6.78,2.37,,
EWBC,21,EWBC,2018-03-31,9060000000,,18.02,14.35,1.79,6.75,2.36,,
EWBC,22,EWBC,2017-12-31,8790000000,,16.71,16.23,2.03,6.74,2.32,,
EWBC,23,EWBC,2017-09-30,8640000000,,17.08,15.82,1.98,6.86,2.35,,
EWBC,24,EWBC,2017-06-30,8460000000,,17.28,16.95,2.12,6.93,2.37,,
EWBC,25,EWBC,2017-03-31,7460000000,,17.38,16.05,2.01,6.22,2.18,,
EWBC,26,EWBC,2016-12-31,7330000000,,17.9,16.67,2.08,6.27,2.17,,
MS,5,MS,2022-03-31,153490000000,,10.88,11.48,3.59,2.81,1.57,,
MS,6,MS,2021-12-31,173960000000,,12.48,12.87,6.13,3.25,1.77,,
MS,7,MS,2021-09-30,175050000000,,12.9,13.3,6.33,3.28,1.77,,
MS,8,MS,2021-06-30,168190000000,,11.99,14.56,,3.03,1.71,,
MS,9,MS,2021-03-31,145140000000,,12.01,13.89,,2.79,1.57,,
MS,10,MS,2020-12-31,124010000000,,11.58,13.19,,2.53,1.55,,
MS,11,MS,2020-09-30,76220000000,,8.74,9.73,,1.87,0.98,,
MS,12,MS,2020-06-30,76130000000,,10.04,12.29,,2.05,0.98,,
MS,13,MS,2020-03-31,53570000000,,6.55,6.53,,1.43,0.73,,
MS,14,MS,2019-12-31,81480000000,,10.89,9.74,,2.32,1.1,,
MS,15,MS,2019-09-30,69280000000,,9.28,8.2,,1.97,0.95,,
MS,16,MS,2019-06-30,73700000000,,9.39,9.11,,2.03,1.01,,
MS,17,MS,2019-03-31,71170000000,,8.92,8.68,1.34,1.94,0.99,,
MS,18,MS,2018-12-31,67400000000,,9.46,7.87,1.21,1.8,0.96,,
MS,19,MS,2018-09-30,81250000000,,11.79,9.15,1.31,2.18,1.14,,
MS,20,MS,2018-06-30,83910000000,,13.43,10.29,1.47,2.31,1.19,,
MS,21,MS,2018-03-31,95720000000,,17.52,12.15,3.57,2.74,1.39,,
MS,22,MS,2017-12-31,94860000000,,14.49,13.07,3.84,2.72,1.33,,
MS,23,MS,2017-09-30,88470000000,,13.76,12.11,5.5,2.54,1.24,,
MS,24,MS,2017-06-30,81970000000,,13.18,13.14,5.97,2.41,1.18,,
MS,25,MS,2017-03-31,79340000000,,14.67,12.92,32.31,2.47,1.16,,
MS,26,MS,2016-12-31,79130000000,,16.9,13.24,44.15,2.56,1.12,,
MCBC,5,MCBC,2022-03-31,308630000,,10.6,,,3.94,1.22,,
MCBC,6,MCBC,2021-12-31,301550000,,9.48,,,3.6,1.2,,
MCBC,7,MCBC,2021-09-30,274560000,,8.63,,,3.25,1.11,,
MCBC,8,MCBC,2021-06-30,299190000,,9.51,,,3.52,1.23,,
MCBC,9,MCBC,2021-03-31,340270000,,11.31,,,4.04,1.42,,
MCBC,10,MCBC,2020-12-31,285430000,,9.73,,,3.51,1.22,,
MCBC,11,MCBC,2020-09-30,222770000,,7.34,,,2.71,0.97,,
MCBC,12,MCBC,2020-06-30,266720000,,8.59,,,3.26,1.19,,
MCBC,13,MCBC,2020-03-31,242890000,,7.57,,,2.96,1.12,,
MCBC,14,MCBC,2019-12-31,379100000,,12.23,,,4.63,1.79,,
MCBC,15,MCBC,2019-09-30,353930000,,11.94,11.95,,4.4,1.72,,
MCBC,16,MCBC,2019-06-30,349290000,,12.36,12.21,,4.44,1.77,,
MCBC,17,MCBC,2019-03-31,338300000,,12.74,12.12,1.52,4.45,1.77,,
MCBC,18,MCBC,2018-12-31,327220000,,15.27,11.88,1.48,4.48,1.78,,
MCBC,19,MCBC,2018-09-30,398310000,,20.19,13.62,1.7,5.6,2.22,,
MCBC,20,MCBC,2018-06-30,412970000,,23.35,,,5.94,2.35,,
MCBC,21,MCBC,2018-03-31,349360000,,21.4,,,5.09,2.02,,
MCBC,22,MCBC,2017-12-31,339410000,,18.52,,,5.0,1.96,,
MCBC,23,MCBC,2017-09-30,348210000,,19.36,,,5.18,2.05,,
MCBC,24,MCBC,2017-06-30,323830000,,19.08,,,4.94,1.95,,
MCBC,25,MCBC,2017-03-31,335370000,,21.02,,,5.16,2.07,,
MCBC,26,MCBC,2016-12-31,353110000,,22.63,,,5.66,2.18,,
Bk,5,Bk,2022-03-31,40090000000,,11.99,10.44,1.1,2.72,1.05,,
Bk,6,Bk,2021-12-31,46700000000,,14.78,12.69,1.34,3.29,1.2,,
Bk,7,Bk,2021-09-30,42810000000,,13.4,11.65,1.55,3.01,1.05,,
Bk,8,Bk,2021-06-30,44220000000,,13.66,12.89,1.72,2.98,1.09,,
Bk,9,Bk,2021-03-31,41400000000,,12.35,11.99,1.64,2.73,1.0,,
Bk,10,Bk,2020-12-31,37630000000,,9.35,10.82,4.51,2.33,0.93,,
Bk,11,Bk,2020-09-30,30430000000,,7.43,8.87,,1.91,0.78,,
Bk,12,Bk,2020-06-30,34240000000,,8.37,10.8,,2.2,0.91,,
Bk,13,Bk,2020-03-31,29820000000,,7.47,8.48,2.18,1.97,0.79,,
Bk,14,Bk,2019-12-31,45330000000,,13.07,11.85,2.16,3.16,1.21,,
Bk,15,Bk,2019-09-30,41690000000,,11.74,10.72,2.43,2.85,1.1,,
Bk,16,Bk,2019-06-30,42270000000,,11.38,10.92,2.06,2.79,1.1,,
Bk,17,Bk,2019-03-31,48150000000,,12.48,11.72,1.68,3.18,1.3,,
Bk,18,Bk,2018-12-31,45210000000,,11.0,,,3.05,1.19,,
Bk,19,Bk,2018-09-30,50990000000,,12.26,11.36,1.35,3.35,1.33,,
Bk,20,Bk,2018-06-30,54510000000,,13.52,12.8,1.38,3.61,1.41,,
Bk,21,Bk,2018-03-31,51920000000,,13.85,12.89,1.46,3.54,1.38,,
Bk,22,Bk,2017-12-31,55150000000,,15.79,13.64,1.12,3.71,1.48,,
Bk,23,Bk,2017-09-30,54780000000,,15.73,13.57,1.15,3.69,1.49,,
Bk,24,Bk,2017-06-30,52710000000,,15.7,14.77,1.42,3.63,1.48,,
Bk,25,Bk,2017-03-31,49110000000,,14.99,13.77,0.99,3.41,1.39,,
Bk,26,Bk,2016-12-31,50100000000,,16.01,13.72,0.99,3.47,1.37,,
GS,5,GS,2022-03-31,113360000000,,5.55,8.28,1.22,1.98,1.14,,
GS,6,GS,2021-12-31,127610000000,,6.3,9.4,1.68,2.34,1.32,,
GS,7,GS,2021-09-30,126560000000,,6.91,9.93,1.77,2.47,1.37,,
GS,8,GS,2021-06-30,128010000000,,9.43,10.87,3.29,2.55,1.45,,
GS,9,GS,2021-03-31,111190000000,,13.22,11.2,2.2,2.64,1.31,,
GS,10,GS,2020-12-31,90740000000,,15.19,10.57,2.07,2.44,1.11,,
GS,11,GS,2020-09-30,69150000000,,15.26,8.51,1.44,1.99,0.88,,
GS,12,GS,2020-06-30,67970000000,,10.72,13.62,2.96,2.22,0.84,,
GS,13,GS,2020-03-31,53160000000,,7.35,7.02,1.53,1.74,0.67,,
GS,14,GS,2019-12-31,79860000000,,10.27,9.53,,2.78,0.99,,
GS,15,GS,2019-09-30,74090000000,,8.69,8.13,10.17,2.49,0.93,,
GS,16,GS,2019-06-30,74850000000,,8.51,8.73,10.92,2.47,0.93,,
GS,17,GS,2019-03-31,70410000000,,7.6,7.73,0.33,2.25,0.89,,
GS,18,GS,2018-12-31,61430000000,,11.84,,,1.99,0.81,,
GS,19,GS,2018-09-30,84660000000,,17.46,9.0,0.39,2.71,1.11,,
GS,20,GS,2018-06-30,83310000000,,20.4,9.54,0.41,2.84,1.15,,
GS,21,GS,2018-03-31,95460000000,,27.95,11.71,0.5,3.5,1.35,,
GS,22,GS,2017-12-31,96100000000,,13.3,12.44,2.14,3.56,1.27,,
GS,23,GS,2017-09-30,91760000000,,12.48,11.61,2.19,3.38,1.19,,
GS,24,GS,2017-06-30,86140000000,,11.83,11.67,2.2,3.19,1.14,,
GS,25,GS,2017-03-31,90690000000,,14.1,11.89,,3.56,1.2,,
GS,26,GS,2016-12-31,95220000000,,19.09,13.04,1.15,3.9,1.24,,
DFS,5,DFS,2022-03-31,30960000000,,6.18,7.73,,2.73,2.51,,
DFS,6,DFS,2021-12-31,33320000000,,6.89,8.56,0.38,2.96,2.73,,
DFS,7,DFS,2021-09-30,36210000000,,7.85,9.62,0.43,3.16,2.99,,
DFS,8,DFS,2021-06-30,35630000000,,13.31,9.68,0.44,3.3,3.21,,
